,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,36.67,43.39,46.52,46.21,48.52,49.06,51.61,62.0,51.42,49.65,53.87,54.55,50.13
Expenses,28.36,33.82,36.43,35.95,38.64,40.09,40.64,48.71,40.52,37.16,40.14,42.72,39.8
Operating Profit,8.31,9.57,10.09,10.26,9.88,8.97,10.97,13.29,10.9,12.49,13.73,11.83,10.33
OPM %,22.66,22.06,21.69,22.2,20.36,18.28,21.26,21.44,21.2,25.16,25.49,21.69,20.61
Other Income,0.63,0.78,1.03,0.83,0.46,0.79,0.53,0.98,1.07,0.68,0.2,0.61,0.98
Interest,0.93,0.88,0.81,0.74,0.68,0.72,0.45,0.62,0.81,0.8,0.68,0.58,0.88
Depreciation,1.84,1.85,1.98,1.89,1.92,1.94,2.0,1.96,2.01,2.05,1.9,2.05,2.08
Profit before tax,6.17,7.62,8.33,8.46,7.74,7.1,9.05,11.69,9.15,10.32,11.35,9.81,8.35
Tax %,26.42,25.2,22.57,22.34,23.9,25.35,25.08,24.98,24.59,24.81,19.12,25.28,24.55
Net Profit,4.53,5.7,6.45,6.57,5.88,5.3,6.78,8.77,6.9,7.75,9.18,7.33,6.3
EPS in Rs,0.81,1.02,1.15,1.17,1.05,0.95,1.21,1.56,1.23,1.38,1.64,1.31,1.12
