,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,5,5,6,6,6,6,6,6,6,6
Reserves,27,28,31,38,47,59,71,85,83,93,106,128,129
Borrowings,22,25,20,17,12,21,25,46,38,29,23,15,24
Other Liabilities,17,15,18,19,16,17,23,22,23,27,28,34,21
Total Liabilities,70,73,74,78,80,103,126,158,149,155,163,182,179
Fixed Assets,31,36,38,36,35,37,48,56,72,80,79,76,86
CWIP,6,2,1,0,1,4,5,19,10,1,0,8,0
Investments,1,0,0,0,0,0,0,3,0,1,0,10,0
Other Assets,33,34,36,42,44,62,73,80,67,72,85,87,94
Total Assets,70,73,74,78,80,103,126,158,149,155,163,182,179
