,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.44,41.64,37.38,29.22,23.0,25.27,22.61,21.22,8.47,1.62,18.91,14.58,10.88
Expenses,26.9,41.17,36.66,28.8,23.72,27.36,26.71,23.57,8.29,1.63,17.98,13.34,10.14
Operating Profit,0.54,0.47,0.72,0.42,-0.72,-2.09,-4.1,-2.35,0.18,-0.01,0.93,1.24,0.74
OPM %,1.97,1.13,1.93,1.44,-3.13,-8.27,-18.13,-11.07,2.13,-0.62,4.92,8.5,6.80
Other Income,0.03,0.11,0.09,0.04,0.12,0.09,0.08,0.04,0.03,0.02,0.04,-0.44,-0.60
Interest,0.15,0.1,0.33,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.29,0.29,0.27,0.24,0.24,0.24,0.27,0.27,0.25,0.26,0.19,0.22,0.22
Profit before tax,0.13,0.19,0.21,0.15,-0.86,-2.24,-4.29,-2.58,-0.04,-0.25,0.78,0.58,-0.08
Tax %,15.38,21.05,19.05,20.0,0.0,0.0,0.0,0.0,0.0,0.0,34.62,22.41,
Net Profit,0.11,0.16,0.16,0.12,-0.85,-2.25,-4.29,-2.58,-0.04,-0.25,0.52,0.45,-0.12
EPS in Rs,0.07,0.1,0.1,0.07,-0.52,-1.38,-2.63,-1.58,-0.02,-0.15,0.32,0.28,-0.07
