,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.86,8.41,3.48,4.78,2.9,12.0,8.55,3.45,5.27,6.38,11.71,5.79,4.74
Expenses,1.8,8.95,8.07,5.71,5.39,18.02,-0.74,5.52,9.79,-0.51,12.26,8.47,8.78
Operating Profit,0.06,-0.54,-4.59,-0.93,-2.49,-6.02,9.29,-2.07,-4.52,6.89,-0.55,-2.68,-4.04
OPM %,3.23,-6.42,-131.9,-19.46,-85.86,-50.17,108.65,-60.0,-85.77,107.99,-4.7,-46.29,-85.23
Other Income,-0.08,2.56,-1.21,0.39,0.33,0.28,1.41,0.6,0.39,-0.46,1.8,1.45,0.21
Interest,0.03,0.05,0.13,0.08,0.14,0.11,0.2,0.5,0.15,0.34,0.72,0.26,0.23
Depreciation,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.19,0.13,0.16,0.2,0.07,0.11
Profit before tax,-0.24,1.78,-6.1,-0.8,-2.48,-6.03,10.32,-2.16,-4.41,5.93,0.33,-1.56,-4.17
Tax %,-16.67,1.12,6.72,-41.25,0.4,-1.49,-0.68,-3.7,-2.72,3.37,6.06,-0.64,-3.36
Net Profit,-0.29,1.76,-5.69,-1.14,-2.47,-6.11,10.39,-2.23,-4.54,5.73,0.32,-1.58,-4.31
EPS in Rs,0.0,0.05,-0.16,-0.03,-0.06,-0.15,0.26,-0.05,-0.1,0.15,0.01,-0.04,-0.11
