,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.4,37.82,52.68,54.48,54.17,55.93,54.73,44.38,16.72,14.8,31.06,29.21,30.80
Expenses,23.04,33.67,48.07,47.97,47.83,49.7,48.35,39.31,13.72,13.68,30.31,34.77,33.00
Operating Profit,3.36,4.15,4.61,6.51,6.34,6.23,6.38,5.07,3.0,1.12,0.75,-5.56,-2.20
OPM %,12.73,10.97,8.75,11.95,11.7,11.14,11.66,11.42,17.94,7.57,2.41,-19.03,-7.14
Other Income,0.1,0.26,0.21,0.43,0.75,0.56,0.17,0.1,-0.13,0.03,0.04,0.04,0.80
Interest,1.55,1.77,2.09,2.87,2.84,2.63,3.07,3.13,2.19,2.44,2.22,2.17,1.88
Depreciation,0.82,0.85,1.14,1.89,1.89,1.9,1.9,1.88,0.67,0.64,0.63,0.62,0.60
Profit before tax,1.09,1.79,1.59,2.18,2.36,2.26,1.58,0.16,0.01,-1.93,-2.06,-8.31,-3.88
Tax %,37.61,34.64,24.53,30.28,34.75,37.17,56.33,0.0,-1000.0,16.58,22.82,25.15,
Net Profit,0.69,1.17,1.2,1.52,1.54,1.41,0.69,0.16,0.12,-1.6,-1.59,-6.21,-3.06
EPS in Rs,0.14,0.24,0.24,0.31,0.31,0.29,0.14,0.03,0.02,-0.32,-0.32,-1.26,-0.62
