,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,35.96,44.67,54.1,40.57,43.32,44.9,37.86,35.23,44.64,41.88,45.44,36.76,38.79
Expenses,33.9,41.5,50.81,39.8,44.35,40.19,37.35,35.19,42.88,41.28,45.69,36.26,39.03
Operating Profit,2.06,3.17,3.29,0.77,-1.03,4.71,0.51,0.04,1.76,0.6,-0.25,0.5,-0.24
OPM %,5.73,7.1,6.08,1.9,-2.38,10.49,1.35,0.11,3.94,1.43,-0.55,1.36,-0.62
Other Income,0.17,0.25,1.19,1.03,3.2,-3.21,2.2,0.82,-0.24,0.35,1.81,0.19,0.18
Interest,1.46,1.37,1.4,1.39,0.98,1.0,1.82,0.86,0.99,1.12,1.48,1.12,0.81
Depreciation,0.67,0.79,0.46,0.66,0.67,0.67,0.63,0.43,0.43,0.43,0.44,0.36,0.36
Profit before tax,0.1,1.26,2.62,-0.25,0.52,-0.17,0.26,-0.43,0.1,-0.6,-0.36,-0.79,-1.23
Tax %,-30.0,-5.56,17.56,20.0,23.08,23.53,19.23,0.0,30.0,8.33,-58.33,16.46,22.76
Net Profit,0.17,1.31,2.16,-0.19,0.39,-0.1,0.02,-0.39,0.08,-0.47,-0.67,-0.66,-0.96
EPS in Rs,0.12,0.92,1.52,-0.13,0.27,-0.07,0.01,-0.27,0.06,-0.33,-0.47,-0.46,-0.68
