,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.21,2.85,3.84,4.25,4.64,6.15,7.61,8.47,10.15,13.18,18.6,23.49,28.45
Expenses,1.89,2.89,3.5,3.32,5.13,4.57,5.34,6.18,9.31,10.74,10.74,12.57,15.96
Operating Profit,0.32,-0.04,0.34,0.93,-0.49,1.58,2.27,2.29,0.84,2.44,7.86,10.92,12.49
OPM %,14.48,-1.4,8.85,21.88,-10.56,25.69,29.83,27.04,8.28,18.51,42.26,46.49,43.9
Other Income,0.0,0.0,0.01,0.0,0.7,0.0,0.01,0.0,0.0,0.01,0.02,0.03,0.05
Interest,0.58,0.88,1.52,1.8,2.14,3.07,3.58,4.03,4.85,5.74,7.05,8.51,10.16
Depreciation,0.19,0.23,0.22,0.22,0.23,0.24,0.25,0.34,0.42,0.45,0.52,0.67,0.71
Profit before tax,-0.45,-1.15,-1.39,-1.09,-2.16,-1.73,-1.55,-2.08,-4.43,-3.74,0.31,1.77,1.67
Tax %,-8.89,4.35,63.31,0.92,37.96,49.13,72.9,23.08,33.86,28.07,-35.48,7.91,18.56
Net Profit,-0.49,-1.1,-0.51,-1.08,-1.34,-0.88,-0.42,-1.6,-2.92,-2.7,0.42,1.64,1.37
EPS in Rs,-0.24,-0.55,-0.25,-0.54,-0.67,-0.41,-0.19,-0.68,-1.25,-1.15,0.17,0.66,0.54
