,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,11.42,8.82,11.39,7.93,3.9,4.9,4.61,2.39,3.33,4.08,0.62,5.15,10.1
Expenses,5.32,2.86,12.38,5.27,3.03,3.59,5.83,0.48,0.6,0.54,0.77,0.53,5.48
Operating Profit,6.1,5.96,-0.99,2.66,0.87,1.31,-1.22,1.91,2.73,3.54,-0.15,4.62,4.62
OPM %,53.42,67.57,-8.69,33.54,22.31,26.73,-26.46,79.92,81.98,86.76,-24.19,89.71,45.74
Other Income,11.0,0.42,-0.07,0.26,0.34,0.23,0.15,0.24,0.44,0.22,0.19,0.18,0.45
Interest,3.45,4.36,2.17,0.55,0.46,0.49,0.53,0.52,0.48,0.54,0.6,0.68,0.51
Depreciation,0.04,0.04,0.04,0.06,0.06,0.06,0.06,0.05,0.04,0.05,0.05,0.04,0.04
Profit before tax,13.61,1.98,-3.27,2.31,0.69,0.99,-1.66,1.58,2.65,3.17,-0.61,4.08,4.52
Tax %,18.66,27.78,87.46,23.81,18.84,28.28,24.7,24.68,28.3,24.29,-19.67,25.49,24.34
Net Profit,11.07,1.44,-0.4,1.76,0.56,0.71,-1.25,1.19,1.9,2.41,-0.73,3.04,3.42
EPS in Rs,11.02,1.97,-1.97,2.5,0.72,1.06,-1.49,1.59,2.77,3.63,-0.99,4.39,4.83
