,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,8,8,8,8,8,8,8,8,8,8
Reserves,248,295,348,403,445,505,562,603,625,633,629,643,640
Borrowings,73,21,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities,213,208,218,202,157,163,224,181,129,160,148,159,173
Total Liabilities,542,532,574,613,610,676,793,791,761,801,786,811,820
Fixed Assets,245,246,233,211,197,178,157,143,145,134,125,129,127
CWIP,11,7,1,2,3,3,1,3,2,1,6,2,0
Investments,3,20,30,68,82,171,244,243,319,292,307,313,320
Other Assets,283,259,311,332,328,324,391,402,295,374,349,367,372
Total Assets,542,532,574,613,610,676,793,791,761,801,786,811,820
