,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,122.0,138.0,154.0,201.0,225.0,271.0,298.0,325.0,248.0,128.0,168.0,199.0,212
Expenses,96.0,104.0,112.0,139.0,149.0,180.0,201.0,212.0,191.0,139.0,157.0,176.0,183
Operating Profit,26.0,34.0,42.0,62.0,77.0,91.0,97.0,113.0,57.0,-11.0,11.0,23.0,28
OPM %,21.0,24.0,27.0,31.0,34.0,34.0,33.0,35.0,23.0,-9.0,7.0,12.0,13
Other Income,2.0,2.0,3.0,7.0,2.0,4.0,19.0,15.0,16.0,15.0,17.0,20.0,22
Interest,7.0,5.0,6.0,6.0,21.0,19.0,15.0,6.0,10.0,3.0,3.0,4.0,8
Depreciation,23.0,20.0,15.0,16.0,17.0,20.0,26.0,27.0,35.0,33.0,33.0,33.0,33
Profit before tax,-2.0,12.0,24.0,47.0,42.0,57.0,75.0,96.0,29.0,-33.0,-8.0,6.0,9
Tax %,0.0,0.0,0.0,0.0,34.0,36.0,31.0,36.0,2.0,26.0,25.0,43.0,
Net Profit,-2.0,12.0,24.0,47.0,28.0,37.0,52.0,62.0,28.0,-24.0,-6.0,3.0,5
EPS in Rs,-0.08,0.44,0.93,1.8,1.05,1.03,1.45,1.78,0.82,-0.7,-0.16,0.1,0.14
