,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.73,9.73,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.4,16.3,16.8
Reserves,0.37,0.38,0.45,0.51,0.55,1.11,0.8,-0.31,-1.78,-1.73,0.08,0.73,1.32
Borrowings,0.49,0.59,0.47,0.3,0.06,0.54,1.6,1.3,0.94,1.23,0.97,1.78,1.64
Other Liabilities,1.67,1.46,1.9,2.26,2.36,1.88,1.13,2.19,1.87,1.17,2.19,1.51,1.03
Total Liabilities,12.26,12.16,12.82,13.07,12.97,13.53,13.53,13.18,11.03,10.67,17.64,20.32,20.79
Fixed Assets,0.17,0.15,0.12,0.09,0.15,0.14,0.13,0.13,0.11,0.08,0.2,0.22,0.2
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.3,2.3,3.0,3.93,3.52,4.8,3.73,2.35,2.01,1.84,1.85,2.95,3.05
Other Assets,9.79,9.71,9.7,9.05,9.3,8.59,9.67,10.7,8.91,8.75,15.59,17.15,17.54
Total Assets,12.26,12.16,12.82,13.07,12.97,13.53,13.53,13.18,11.03,10.67,17.64,20.32,20.79
