,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.27,14.13,13.8,14.86,16.93,17.28,17.36,17.67,18.5,11.88,18.42,18.7,17.13
Expenses,11.3,11.18,11.06,12.2,13.8,14.4,14.3,14.85,15.71,10.62,16.06,16.81,15.27
Operating Profit,1.97,2.95,2.74,2.66,3.13,2.88,3.06,2.82,2.79,1.26,2.36,1.89,1.86
OPM %,14.85,20.88,19.86,17.9,18.49,16.67,17.63,15.96,15.08,10.61,12.81,10.11,10.86
Other Income,2.13,0.77,0.57,0.53,-0.07,-0.02,-0.24,-0.34,-0.05,0.14,1.63,8.37,4.62
Interest,0.03,0.14,0.29,0.04,0.06,0.07,0.08,0.18,0.16,0.08,0.09,0.09,0.01
Depreciation,0.73,0.73,0.93,1.19,0.58,0.57,0.6,0.57,0.56,0.49,0.58,0.52,0.56
Profit before tax,3.34,2.85,2.09,1.96,2.42,2.22,2.14,1.73,2.02,0.83,3.32,9.65,5.91
Tax %,21.56,27.02,27.75,27.04,36.78,36.04,34.11,34.68,27.72,25.3,21.39,13.78,
Net Profit,2.62,2.08,1.52,1.43,1.53,1.42,1.41,1.12,1.47,0.61,2.61,8.32,4.99
EPS in Rs,7.82,6.21,4.54,4.27,4.57,4.24,4.21,3.34,4.39,1.82,7.79,24.83,14.89
