,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,348.0,369.0,405.0,403.0,415.0,370.0,445.0,391.0,365.0,419.0,435.0,441.0,431.0
Expenses,268.0,298.0,339.0,335.0,354.0,333.0,404.0,358.0,341.0,366.0,396.0,378.0,392.0
Operating Profit,80.0,72.0,66.0,68.0,62.0,37.0,41.0,33.0,24.0,53.0,39.0,63.0,39.0
OPM %,23.0,19.0,16.0,17.0,15.0,10.0,9.0,8.0,6.0,13.0,9.0,14.0,9.0
Other Income,2.0,1.0,3.0,1.0,3.0,2.0,5.0,3.0,6.0,3.0,8.0,5.0,4.0
Interest,5.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5.0,7.0
Depreciation,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0
Profit before tax,67.0,58.0,55.0,52.0,47.0,22.0,29.0,19.0,10.0,36.0,27.0,49.0,23.0
Tax %,36.0,29.0,41.0,34.0,34.0,29.0,40.0,34.0,74.0,45.0,60.0,37.0,39.0
Net Profit,43.0,42.0,32.0,34.0,31.0,15.0,17.0,12.0,3.0,20.0,11.0,31.0,14.0
EPS in Rs,9.48,9.19,7.13,7.62,6.89,3.35,3.83,2.76,0.61,4.41,2.39,6.87,3.06
