,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,46,46,46,46,46,48,48,48,48,48,144,144,144
Reserves,113,138,171,213,268,390,426,443,442,423,395,396,406
Borrowings,285,402,452,471,511,638,640,603,522,552,558,465,388
Other Liabilities,82,92,124,130,193,205,231,170,201,160,346,262,211
Total Liabilities,526,677,792,860,1018,1280,1345,1264,1213,1183,1443,1267,1150
Fixed Assets,301,341,452,437,480,798,737,632,584,503,544,539,517
CWIP,5,54,0,11,90,6,0,15,0,2,0,0,7
Investments,0,0,4,7,7,2,1,1,1,0,0,0,0
Other Assets,220,282,335,405,440,475,607,615,627,678,899,727,626
Total Assets,526,677,792,860,1018,1280,1345,1264,1213,1183,1443,1267,1150
