,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.93,6.47
Expenses,0.24,0.26,0.23,0.22,0.24,0.43,1.07,0.20,0.20,0.43,1.28,2.34,0.78
Operating Profit,-0.24,-0.26,-0.23,-0.22,-0.24,-0.43,-1.07,-0.20,-0.20,-0.43,-1.28,0.59,5.69
OPM %,,,,,,,,,,,,20.14,87.94
Other Income,0.00,12.96,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.76,0.08,0.17
Interest,0.00,0.00,0.25,0.09,0.10,0.14,0.16,0.19,0.20,0.20,0.14,0.0,0.0
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0
Profit before tax,-0.24,12.70,-0.47,-0.31,-0.34,-0.57,-1.23,-0.39,-0.40,-0.63,6.34,0.67,5.86
Tax %,0.00,17.32,76.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.78,0.0,0.0
Net Profit,-0.24,10.49,-0.12,-0.31,-0.34,-0.57,-1.23,-0.39,-0.40,-0.63,5.72,0.67,5.86
EPS in Rs,-0.34,14.76,-0.17,-0.44,-0.48,-0.80,-1.73,-0.55,-0.56,-0.89,8.05,0.94,8.25
