,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,802.0,355.0,331.0,410.0,377.0,560.0,597.0,885.0,432.0,492.0,898.0,1140.0,1031.0
Expenses,526.0,273.0,255.0,300.0,307.0,459.0,615.0,489.0,337.0,387.0,559.0,612.0,573.0
Operating Profit,276.0,82.0,76.0,110.0,70.0,102.0,-19.0,395.0,95.0,106.0,339.0,528.0,458.0
OPM %,34.0,23.0,23.0,27.0,19.0,18.0,-3.0,45.0,22.0,22.0,38.0,46.0,44.0
Other Income,26.0,31.0,28.0,17.0,38.0,30.0,14.0,34.0,20.0,21.0,29.0,20.0,29.0
Interest,3.0,3.0,4.0,2.0,4.0,5.0,7.0,4.0,4.0,4.0,3.0,4.0,4.0
Depreciation,29.0,30.0,30.0,34.0,35.0,36.0,38.0,40.0,42.0,42.0,41.0,44.0,44.0
Profit before tax,271.0,80.0,71.0,91.0,70.0,91.0,-50.0,386.0,70.0,81.0,324.0,500.0,440.0
Tax %,25.0,21.0,25.0,18.0,7.0,12.0,-2.0,17.0,19.0,23.0,15.0,16.0,16.0
Net Profit,204.0,63.0,53.0,75.0,65.0,80.0,-50.0,320.0,57.0,62.0,276.0,420.0,369.0
EPS in Rs,11.11,3.44,2.91,4.11,3.57,4.41,-2.77,17.55,3.11,3.41,15.11,23.47,20.6
