,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1289,1289,1289,1289,1289,966,966,933,933,918,918,918,918
Reserves,10426,10644,10834,11509,11906,9239,9538,9552,9055,9762,11636,12320,12690
Borrowings,0,0,0,0,0,51,45,67,12,102,77,105,96
Other Liabilities,3806,4400,4426,3380,3515,4245,4064,4596,4549,3928,4857,4396,4695
Total Liabilities,15521,16333,16549,16178,16710,14502,14614,15147,14550,14711,17489,17739,18399
Fixed Assets,6612,6629,6792,6645,6596,7144,7139,7286,7485,7660,7343,7303,8057
CWIP,684,1002,769,550,688,566,915,883,1427,1575,2235,3269,3191
Investments,754,1490,1245,951,1010,1261,711,257,332,562,377,471,697
Other Assets,7470,7212,7743,8031,8416,5531,5849,6722,5306,4913,7534,6696,6455
Total Assets,15521,16333,16549,16178,16710,14502,14614,15147,14550,14711,17489,17739,18399
