,2008-03-01,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01
Equity Capital,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,24.64
Reserves,-77.48,-77.21,-76.66,-78.32,-78.43,-78.65,-78.88,-48.23,-46.27,-46.04,-45.61,-33.01
Borrowings,65.75,66.08,63.59,60.16,61.39,60.5,58.54,14.31,19.32,21.01,10.22,10.77
Other Liabilities,36.25,37.63,39.35,47.5,48.9,52.74,60.9,70.03,71.72,69.44,75.08,39.49
Total Liabilities,30.37,32.35,32.13,35.19,37.71,40.44,46.41,41.96,50.62,50.26,45.54,41.89
Fixed Assets,13.07,12.71,11.34,11.4,11.13,10.86,10.95,12.16,11.9,11.6,11.11,10.95
CWIP,0.25,0.25,0.25,0.25,0.25,0.6900000000000001,1.74,0.0,0.0,0.0,0.0,0.1
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,17.04,19.38,20.53,23.53,26.32,28.88,33.71,29.79,38.71,38.65,34.42,30.83
Total Assets,30.37,32.35,32.13,35.19,37.71,40.44,46.41,41.96,50.62,50.26,45.54,41.89
