,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,40.79,41.87,58.41,82.79,64.66,41.81,58.06,154.82,44.46,7.43,13.63,11.91,21.20
Expenses,33.87,32.94,48.67,70.81,54.7,38.09,53.57,145.28,42.97,5.64,12.14,11.0,19.32
Operating Profit,6.92,8.93,9.74,11.98,9.96,3.72,4.49,9.54,1.49,1.79,1.49,0.91,1.88
OPM %,16.96,21.33,16.68,14.47,15.4,8.9,7.73,6.16,3.35,24.09,10.93,7.64,8.87
Other Income,0.1,0.07,0.63,0.16,-2.0,-0.48,-1.31,0.8,1.39,1.01,1.23,0.88,0.82
Interest,2.43,2.65,3.74,3.52,2.59,2.23,1.93,1.6,1.8,1.99,1.63,0.12,0.14
Depreciation,0.89,1.54,1.57,2.08,1.91,0.84,0.79,0.88,0.13,0.15,0.13,0.26,0.26
Profit before tax,3.7,4.81,5.06,6.54,3.46,0.17,0.46,7.86,0.95,0.66,0.96,1.41,2.30
Tax %,27.3,37.84,30.43,35.32,34.1,-123.53,-17.39,29.26,58.95,24.24,5.21,9.22,
Net Profit,2.69,3.0,3.51,4.24,2.27,0.38,0.54,5.56,0.39,0.51,0.92,1.29,2.17
EPS in Rs,0.45,0.46,0.54,0.49,0.26,0.04,0.05,0.56,0.04,0.05,0.09,0.06,0.09
