,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,94.35,105.83,84.72,85.02,91.21,116.36,103.8,107.74,105.8,105.37,66.96,69.99,95.55
Expenses,66.63,75.22,86.01,69.14,76.54,77.73,74.59,77.93,86.4,83.06,81.71,79.67,90.83
Operating Profit,27.72,30.61,-1.29,15.88,14.67,38.63,29.21,29.81,19.4,22.31,-14.75,-9.68,4.72
OPM %,29.38,28.92,-1.52,18.68,16.08,33.2,28.14,27.67,18.34,21.17,-22.03,-13.83,4.94
Other Income,5.19,3.99,39.84,11.0,7.27,2.13,6.46,6.24,2.04,3.37,14.79,5.1,3.55
Interest,5.05,5.22,7.69,3.97,3.25,1.67,1.31,0.7,0.75,0.85,0.56,0.28,0.39
Depreciation,2.29,1.99,2.89,4.81,4.79,4.72,4.63,4.7,4.78,4.64,3.0,2.22,2.26
Profit before tax,25.57,27.39,27.97,18.1,13.9,34.37,29.73,30.65,15.91,20.19,-3.52,-7.08,5.62
Tax %,19.67,17.16,13.87,8.51,10.22,13.09,13.12,15.79,18.1,24.81,69.32,-14.12,1.25
Net Profit,20.54,22.69,24.09,16.56,12.48,29.87,25.83,25.81,13.03,15.18,-1.08,-8.08,5.55
EPS in Rs,2.73,3.15,4.05,2.48,1.87,4.29,3.75,3.6,1.86,2.0,0.09,-1.26,0.92
