,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.95,7.18,7.75,9.11,7.21,11.72,6.08,5.06,3.72,5.26,11.09,10.51,12.24
Expenses,6.84,7.15,7.58,9.06,7.35,11.28,6.32,5.71,4.92,5.7,11.13,9.56,11.06
Operating Profit,0.11,0.03,0.17,0.05,-0.14,0.44,-0.24,-0.65,-1.2,-0.44,-0.04,0.95,1.18
OPM %,1.58,0.42,2.19,0.55,-1.94,3.75,-3.95,-12.85,-32.26,-8.37,-0.36,9.04,9.64
Other Income,0.29,0.3,0.44,0.4,0.41,0.31,8.51,0.86,1.3,9.82,0.8,0.0,0.00
Interest,0.03,0.02,0.04,0.05,0.01,0.17,0.02,0.01,0.01,0.01,0.02,0.04,0.11
Depreciation,0.11,0.09,0.07,0.08,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.08
Profit before tax,0.26,0.22,0.5,0.32,0.2,0.53,8.21,0.15,0.04,9.32,0.69,0.87,0.99
Tax %,23.08,22.73,26.0,15.62,20.0,26.42,19.98,0.0,0.0,0.54,-108.7,22.99,
Net Profit,0.2,0.16,0.37,0.27,0.17,0.4,6.57,0.15,0.04,9.28,1.44,0.67,0.89
EPS in Rs,5.1,4.08,9.44,6.89,4.34,10.2,167.6,3.83,1.02,236.73,36.73,17.09,22.71
