,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,842.0,901.0,859.0,870.0,690.0,656.0,564.0,491.0,438.0,381.0,400.0,379.0,326
Expenses,698.0,810.0,861.0,874.0,656.0,631.0,570.0,478.0,426.0,355.0,373.0,314.0,274
Operating Profit,144.0,90.0,-1.0,-4.0,34.0,25.0,-6.0,12.0,12.0,27.0,27.0,65.0,51
OPM %,17.0,10.0,-0.0,-0.0,5.0,4.0,-1.0,2.0,3.0,7.0,7.0,17.0,16
Other Income,84.0,83.0,95.0,101.0,207.0,71.0,172.0,78.0,36.0,33.0,-17.0,58.0,54
Interest,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,6.0,8.0,5.0,2.0,2
Depreciation,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,13.0,12.0,10.0,6.0,6
Profit before tax,225.0,169.0,90.0,93.0,237.0,92.0,158.0,86.0,29.0,40.0,-4.0,115.0,98
Tax %,32.0,29.0,-10.0,15.0,16.0,38.0,50.0,40.0,65.0,48.0,3.0,10.0,
Net Profit,152.0,120.0,99.0,79.0,198.0,57.0,78.0,52.0,10.0,21.0,-4.0,103.0,77
EPS in Rs,47.56,37.46,30.83,24.75,62.04,20.33,31.74,20.97,4.08,8.46,-1.51,41.86,31.01
