,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Reserves,0.77,0.72,0.8200000000000001,8.15,6.99,6.83,9.04,8.54,9.7
Borrowings,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.1,0.08,0.11,1.37,1.41,2.17,2.77,2.55,2.9
Total Liabilities,5.87,5.83,5.93,14.52,13.4,14.0,16.81,16.09,17.6
Fixed Assets,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.82,3.55,3.5700000000000003,11.53,10.48,11.13,13.39,13.18,14.62
Other Assets,4.03,2.26,2.35,2.98,2.91,2.86,3.42,2.91,2.98
Total Assets,5.87,5.83,5.93,14.52,13.4,14.0,16.81,16.09,17.6
