,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.36,0.25,0.58,0.25,0.33,0.22,0.19,1.11,0.28
Expenses,0.15,0.32,0.53,0.51,1.38,0.26,-0.29,1.75,1.04
Operating Profit,0.21,-0.07,0.05,-0.26,-1.05,-0.04,0.48,-0.64,-0.76
OPM %,58.33,-28.0,8.62,-104.0,-318.18,-18.18,252.63,-57.66,-271.43
Other Income,-0.11,0.0,0.0,0.0,0.0,0.57,2.18,0.0,1.61
Interest,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.00
Depreciation,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.09,-0.08,0.04,-0.27,-1.05,0.53,2.66,-0.64,0.85
Tax %,-11.11,0.0,0.0,0.0,0.0,5.66,6.39,26.56,
Net Profit,0.1,-0.05,0.1,-0.27,-1.05,0.49,2.49,-0.47,0.83
EPS in Rs,0.2,-0.1,0.2,-0.54,-2.1,0.98,4.98,-0.94,1.66
