,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.94,4.47,5.17,4.53,7.53,5.53,5.09,5.55,5.01,5.72,7.92,5.18,5.58
Expenses,2.57,2.87,2.96,2.79,3.72,3.75,3.77,4.44,4.4,4.39,4.34,4.86,5.13
Operating Profit,0.37,1.6,2.21,1.74,3.81,1.78,1.32,1.11,0.61,1.33,3.58,0.32,0.45
OPM %,12.59,35.79,42.75,38.41,50.6,32.19,25.93,20.0,12.18,23.25,45.2,6.18,8.06
Other Income,0.22,0.17,0.15,0.17,0.2,0.25,0.27,0.35,0.35,0.52,0.56,0.46,0.47
Interest,0.1,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.91,0.92,0.92,0.76,0.79,0.81,0.81,0.65,0.7,0.7,0.7,0.57,0.58
Profit before tax,-0.42,0.78,1.4,1.15,3.22,1.22,0.78,0.81,0.26,1.15,3.44,0.21,0.34
Tax %,2.38,0.0,18.57,27.83,27.95,25.41,32.05,28.4,19.23,27.83,20.06,23.81,29.41
Net Profit,-0.41,0.77,1.14,0.83,2.33,0.91,0.53,0.58,0.21,0.83,2.75,0.16,0.25
EPS in Rs,-0.26,0.49,0.72,0.53,1.48,0.58,0.34,0.37,0.13,0.53,1.74,0.1,0.16
