,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.87,2.81,3.15,0.86,0.98,2.28,2.75,3.6,3.77,2.97,3.66,2.74,3.33
Expenses,2.24,3.43,2.93,1.26,1.72,2.97,3.2,3.88,4.08,3.4,4.09,3.42,3.57
Operating Profit,-0.37,-0.62,0.22,-0.4,-0.74,-0.69,-0.45,-0.28,-0.31,-0.43,-0.43,-0.68,-0.24
OPM %,-19.79,-22.06,6.98,-46.51,-75.51,-30.26,-16.36,-7.78,-8.22,-14.48,-11.75,-24.82,-7.21
Other Income,0.8,0.62,-0.79,0.55,0.55,0.51,0.54,0.51,0.53,0.97,0.61,1.76,0.09
Interest,0.94,0.94,1.01,0.71,0.76,1.43,0.84,1.32,0.75,0.95,0.73,0.73,0.6
Depreciation,0.6,0.56,0.56,0.45,0.45,0.45,0.45,0.43,0.43,0.42,0.42,0.38,0.38
Profit before tax,-1.11,-1.5,-2.14,-1.01,-1.4,-2.06,-1.2,-1.52,-0.96,-0.83,-0.97,-0.03,-1.13
Tax %,1.8,2.0,22.9,0.99,5.71,0.49,-2.5,1.32,1.04,1.2,-1.03,-1833.33,1.77
Net Profit,-1.09,-1.47,-1.64,-1.0,-1.32,-2.04,-1.22,-1.5,-0.94,-0.82,-0.97,-0.58,-1.1
EPS in Rs,-0.67,-0.9,-1.01,-0.61,-0.81,-1.25,-0.75,-0.92,-0.58,-0.5,-0.59,-0.36,-0.67
