,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Expenses,0.08,0.08,0.13,0.09,0.08,0.11,0.08,0.15,0.10,0.13,0.09,0.13,0.10
Operating Profit,-0.08,-0.08,-0.13,-0.09,-0.08,-0.11,-0.08,-0.15,-0.10,-0.13,-0.09,-0.13,-0.10
OPM %,,,,,,,,,,,,,
Other Income,0.02,-0.00,0.16,-0.00,-0.00,0.01,-0.00,0.01,0.01,-0.00,0.01,-0.00,-0.00
Interest,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Depreciation,0.02,0.02,-0.02,0.01,0.01,0.01,-0.01,0.01,-0.00,-0.00,-0.00,-0.00,-0.00
Profit before tax,-0.08,-0.10,0.05,-0.10,-0.09,-0.11,-0.07,-0.15,-0.09,-0.13,-0.08,-0.13,-0.10
Tax %,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Net Profit,-0.08,-0.10,0.04,-0.10,-0.09,-0.11,-0.07,-0.14,-0.10,-0.13,-0.08,-0.13,-0.10
EPS in Rs,-0.28,-0.35,0.14,-0.35,-0.32,-0.39,-0.25,-0.49,-0.35,-0.46,-0.28,-0.46,-0.35
