,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.35,6.05,10.27,3.55,7.85,7.4,10.54,9.49,6.45,6.39,5.22,5.79
Expenses,3.95,3.8,6.77,8.95,9.97,6.77,10.07,10.14,5.72,6.46,6.35,7.64
Operating Profit,1.4,2.25,3.5,-5.4,-2.12,0.63,0.47,-0.65,0.73,-0.07,-1.13,-1.85
OPM %,26.17,37.19,34.08,-152.11,-27.01,8.51,4.46,-6.85,11.32,-1.1,-21.65,-31.95
Other Income,0.02,-0.0,-0.44,0.03,-0.16,0.02,0.11,0.02,0.11,0.09,0.2,0.95
Interest,-0.0,-0.0,0.12,0.24,0.09,0.05,0.03,0.03,0.01,0.08,1.5,1.52
Depreciation,0.77,0.76,0.78,0.68,1.71,0.53,0.57,0.89,0.77,0.26,0.05,0.11
Profit before tax,0.65,1.49,2.16,-6.29,-4.08,0.07,-0.02,-1.55,0.06,-0.32,-2.48,-2.53
Tax %,1.54,-0.0,2.31,-0.48,-0.49,42.86,-300.0,-5.16,200.0,-25.0,-0.0,
Net Profit,0.64,1.49,2.11,-6.31,-4.1,0.05,-0.08,-1.63,-0.05,-0.4,-2.48,-2.66
EPS in Rs,-0.43,0.31,0.58,-4.68,-3.07,0.04,-0.06,-1.22,-0.04,-0.3,-1.86,-2.00
