,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.18,12.4,10.04,11.72,13.5,53.49,104.67,60.44,51.52,8.18,37.29,23.46,20.70
Expenses,9.78,9.76,8.07,24.45,17.5,49.0,100.79,55.32,49.8,8.22,37.19,27.05,24.71
Operating Profit,2.4,2.64,1.97,-12.73,-4.0,4.49,3.88,5.12,1.72,-0.04,0.1,-3.59,-4.01
OPM %,19.7,21.29,19.62,-108.62,-29.63,8.39,3.71,8.47,3.34,-0.49,0.27,-15.3,-19.37
Other Income,-0.98,0.73,0.12,-13.88,-59.7,0.0,0.01,3.69,0.2,1.14,0.77,4.92,4.94
Interest,0.3,0.76,0.65,1.33,0.0,0.0,0.01,1.26,0.66,0.65,0.66,0.79,0.72
Depreciation,2.53,2.56,1.4,0.95,3.58,2.1,0.77,0.15,0.14,0.1,0.06,0.06,0.06
Profit before tax,-1.41,0.05,0.04,-28.89,-67.28,2.39,3.11,7.4,1.12,0.35,0.15,0.48,0.15
Tax %,35.46,0.0,25.0,-0.28,0.1,2.93,-22.51,16.22,21.43,37.14,60.0,27.08,
Net Profit,-0.9,0.06,0.03,-28.97,-67.21,2.32,3.81,6.21,0.89,0.21,0.06,0.35,-0.12
EPS in Rs,-0.14,0.01,0.0,-4.0,-9.28,0.32,0.47,0.63,0.09,0.02,0.01,0.03,-0.01
