,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14.82,14.82,14.82,14.82,14.82,14.82,23.82,28.52,28.52,28.52,28.52,29.4,29.4
Reserves,47.95,33.59,20.2,9.06,10.16,10.88,47.7,49.74,51.83,47.86,42.04,38.14,39.12
Borrowings,64.95,64.02,36.46,36.1,45.05,45.84,23.3,18.81,29.7,29.65,29.28,29.77,5.83
Other Liabilities,15.53,28.97,67.43,67.64,19.2,13.13,23.68,32.67,28.32,24.2,22.13,21.69,44.02
Total Liabilities,143.25,141.4,138.91,127.62,89.23,84.67,118.5,129.74,138.37,130.23,121.97,119.0,118.37
Fixed Assets,38.58,37.16,35.63,33.84,29.63,28.02,48.19,46.75,45.44,43.97,42.51,41.05,40.31
CWIP,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,103.1,104.18,103.22,93.72,59.54,56.59,70.31,82.99,92.93,86.26,79.46,77.95,78.06
Total Assets,143.25,141.4,138.91,127.62,89.23,84.67,118.5,129.74,138.37,130.23,121.97,119.0,118.37
