,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,90.46,74.74,67.0,60.29,62.72,61.57,79.63,167.51,197.36,8.16,8.23,6.0,4.50
Expenses,83.53,68.17,60.9,53.8,56.83,56.12,74.22,160.83,191.66,6.92,7.85,5.47,4.63
Operating Profit,6.93,6.57,6.1,6.49,5.89,5.45,5.41,6.68,5.7,1.24,0.38,0.53,-0.13
OPM %,7.66,8.79,9.1,10.76,9.39,8.85,6.79,3.99,2.89,15.2,4.62,8.83,-2.89
Other Income,0.26,0.24,0.81,0.0,0.57,0.32,0.45,0.13,0.18,0.05,0.19,0.01,0.00
Interest,3.28,3.55,3.72,3.52,3.42,2.94,3.49,3.22,3.21,0.87,0.81,0.4,0.48
Depreciation,1.33,1.4,1.51,1.64,1.65,1.7,1.69,1.75,1.96,0.29,0.29,0.25,0.22
Profit before tax,2.58,1.86,1.68,1.33,1.39,1.13,0.68,1.84,0.71,0.13,-0.53,-0.11,-0.83
Tax %,50.78,41.4,29.17,32.33,41.01,55.75,0.0,30.43,181.69,-623.08,24.53,18.18,
Net Profit,1.28,1.09,1.19,0.9,0.83,0.5,0.68,1.28,-0.56,0.95,-0.4,-0.09,-0.82
EPS in Rs,0.76,0.64,0.7,0.53,0.49,0.3,0.4,0.76,-0.33,1.17,-0.49,-0.11,-1.01
