,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.6,0.00,0.62,1.45,0.37,0.46,0.61,0.62,0.7,0.51,0.52,0.74
Expenses,1.48,0.07,0.54,1.41,0.15,0.18,0.41,0.35,0.16,0.38,0.29,0.39
Operating Profit,0.12,-0.07,0.08,0.04,0.22,0.28,0.2,0.27,0.54,0.13,0.23,0.35
OPM %,7.5,,12.9,2.76,59.46,60.87,32.79,43.55,77.14,25.49,44.23,47.3
Other Income,0.0,0.00,0.0,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Profit before tax,0.12,-0.07,0.08,0.06,0.24,0.33,0.2,0.27,0.54,0.11,0.23,0.35
Tax %,0.0,-114.29,0.0,0.0,0.0,3.03,0.0,0.0,0.0,9.09,0.0,0.0
Net Profit,0.12,-0.15,0.08,0.06,0.24,0.33,0.2,0.27,0.54,0.11,0.23,0.35
EPS in Rs,0.22,-0.28,0.15,0.11,0.44,0.61,0.37,0.5,1.0,0.2,0.43,0.65
