,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.21,0.23,0.25,0.19,0.17,0.16,0.15,0.16,0.17,0.19,0.14,0.14,0.16
Expenses,0.01,0.02,0.05,0.05,0.06,0.05,0.64,0.63,0.16,0.13,0.15,0.16,0.21
Operating Profit,0.2,0.21,0.2,0.14,0.11,0.11,-0.49,-0.47,0.01,0.06,-0.01,-0.02,-0.05
OPM %,95.24,91.3,80.0,73.68,64.71,68.75,-326.67,-293.75,5.88,31.58,-7.14,-14.29,-31.25
Other Income,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.00
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.2,0.21,0.21,0.15,0.11,0.11,-0.49,0.1,0.01,0.06,-0.01,-0.02,-0.05
Tax %,30.0,33.33,33.33,33.33,27.27,27.27,-4.08,30.0,0.0,16.67,0.0,0.0,
Net Profit,0.14,0.14,0.14,0.1,0.08,0.08,-0.51,0.08,0.0,0.04,-0.01,-0.02,-0.05
EPS in Rs,2.8,2.8,2.8,2.0,1.6,1.6,-10.2,1.6,0.0,0.8,-0.2,-0.4,-1.00
