,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,3.46,6.97,5.6,0.4,0.00,0.78,0.00,2.24,0.46,0.8,7.65,8.19,17.22
Expenses,3.19,4.66,4.94,2.87,3.54,1.28,18.18,2.55,0.57,83.5,15.11,8.59,18.38
Operating Profit,0.27,2.31,0.66,-2.47,-3.54,-0.5,-18.18,-0.31,-0.11,-82.7,-7.46,-0.4,-1.16
OPM %,7.8,33.14,11.79,-617.5,,-64.1,,-13.84,-23.91,-10337.5,-97.52,-4.88,-6.74
Other Income,0.38,0.15,2.04,3.16,5.94,-0.66,23.84,0.7,0.4,-37.34,3.48,0.53,0.76
Interest,0.1,0.1,0.11,0.1,0.28,0.09,0.26,0.0,0.03,0.0,0.0,0.01,0.0
Depreciation,1.2,1.2,1.2,1.2,1.20,1.2,0.73,1.09,1.09,1.09,1.09,1.09,1.09
Profit before tax,-0.65,1.16,1.39,-0.61,0.92,-2.45,4.67,-0.7,-0.83,-121.13,-5.07,-0.97,-1.49
Tax %,0.0,0.0,-35.25,0.0,25.00,0.0,0.00,0.0,0.0,0.0,-122.09,0.0,0.0
Net Profit,-0.65,1.16,1.88,-0.62,0.68,-2.45,4.67,-0.69,-0.83,-121.12,-11.26,-0.97,-1.49
EPS in Rs,-0.48,0.86,1.39,-0.46,0.50,-1.81,3.46,-0.51,-0.61,-89.71,-8.34,-0.72,-1.1
