,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73
Reserves,0.59,0.63,0.68,0.51,0.59,0.67,0.76,0.8,0.86,0.97,0.8200000000000001,0.8,0.76
Borrowings,5.23,6.15,6.05,2.8,1.2,1.98,1.03,1.1,0.48,0.0,0.0,0.0,1.35
Other Liabilities,0.11,0.15,0.08,0.08,0.09,0.04,0.26,0.37,0.34,0.14,0.22,0.24,0.26
Total Liabilities,9.66,10.66,10.54,7.12,5.61,6.42,5.78,6.0,5.41,4.84,4.77,4.77,6.1
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.0,1.1,1.69,1.64,0.74,0.5,0.58,0.28,0.26,0.26,0.26,0.26,0.26
Other Assets,8.66,9.56,8.85,5.48,4.87,5.92,5.2,5.72,5.15,4.58,4.51,4.51,5.84
Total Assets,9.66,10.66,10.54,7.12,5.61,6.42,5.78,6.0,5.41,4.84,4.77,4.77,6.1
