,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.47,0.00,0.00,-0.47,0.00,0.00
Expenses,0.06,0.07,0.05,0.05,0.03,0.02,0.74,0.6,0.00,0.00,-0.52,0.01,0.01
Operating Profit,-0.06,-0.07,-0.05,-0.05,-0.03,-0.02,-0.6,-0.13,0.00,0.00,0.05,-0.01,-0.01
OPM %,,,,,,,-428.57,-27.66,,,,,
Other Income,0.04,-7.14,0.01,0.00,0.00,-0.67,-0.15,0.13,0.00,0.00,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Depreciation,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
Profit before tax,-0.04,-7.23,-0.05,-0.06,-0.04,-0.70,-0.76,-0.01,-0.01,-0.01,0.04,-0.01,-0.01
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Net Profit,-0.04,-7.23,-0.06,-0.07,-0.04,-0.70,-0.77,-0.01,-0.01,-0.01,0.04,-0.01,-0.01
EPS in Rs,-0.07,-11.90,-0.10,-0.12,-0.07,-1.15,-1.27,-0.02,-0.02,-0.02,0.07,-0.02,-0.02
