,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
Reserves,1.77,1.77,1.77,1.75,1.76,1.77,1.8,1.82,1.84,1.85,1.82,1.85,1.86
Borrowings,0.0,0.0,0.0,0.0,0.0,0.36,0.16,0.16,0.16,0.16,0.16,0.16,0.0
Other Liabilities,1.8,0.32,0.55,0.6000000000000001,0.38,1.95,0.14,0.27,0.68,0.53,0.35,0.19,0.36
Total Liabilities,7.92,6.44,6.67,6.7,6.49,8.43,6.45,6.6,7.03,6.89,6.68,6.55,6.57
Fixed Assets,0.1,0.39,0.37,0.26,0.18,0.14,0.11,0.09,0.07,0.05,0.03,0.02,0.02
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.36,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,7.46,5.89,6.29,6.43,6.3,8.28,6.33,6.5,6.95,6.83,6.64,6.52,6.54
Total Assets,7.92,6.44,6.67,6.7,6.49,8.43,6.45,6.6,7.03,6.89,6.68,6.55,6.57
