,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,0,0,4,7,10,10,10,10,10
Reserves,0,0,0,0,0,0,0,6,4,4,4,5,4
Borrowings,0,0,0,0,0,0,1,1,1,3,4,2,3
Other Liabilities,0,0,0,0,0,1,0,1,2,1,1,0,3
Total Liabilities,0,0,0,0,0,2,6,15,16,18,19,17,20
Fixed Assets,0,0,0,0,0,0,0,0,0,0,1,1,1
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,0,0,0,0,0,2,6,15,16,17,18,16,19
Total Assets,0,0,0,0,0,2,6,15,16,18,19,17,20
