,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,8,8,8,8,8,8,8,10,11,11
Reserves,10,10,12,17,19,23,24,27,24,24,37,51,56
Borrowings,29,27,33,41,42,39,37,42,51,59,69,55,59
Other Liabilities,14,15,29,17,10,15,18,17,23,15,38,28,31
Total Liabilities,61,60,83,83,79,86,87,95,107,106,153,145,158
Fixed Assets,33,33,36,36,38,47,44,51,58,60,72,77,89
CWIP,0,0,1,1,2,0,0,0,3,5,3,2,0
Investments,1,1,1,1,1,0,0,0,0,0,0,0,0
Other Assets,26,27,46,45,38,38,43,43,46,41,78,66,68
Total Assets,61,60,83,83,79,86,87,95,107,106,153,145,158
