,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,171.0,226.0,120.0,321.0,220.0,442.0,176.0,267.0,263.0
Expenses,161.0,214.0,107.0,301.0,200.0,423.0,169.0,256.0,253.0
Operating Profit,9.0,13.0,12.0,20.0,20.0,19.0,6.0,11.0,10.0
OPM %,5.0,6.0,10.0,6.0,9.0,4.0,4.0,4.0,4.0
Other Income,6.0,-0.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0
Interest,8.0,4.0,6.0,6.0,6.0,7.0,5.0,5.0,8.0
Depreciation,7.0,6.0,6.0,9.0,7.0,7.0,4.0,5.0,5.0
Profit before tax,0.0,1.0,1.0,6.0,7.0,9.0,1.0,5.0,0.0
Tax %,-720.0,-77.0,54.0,25.0,40.0,23.0,41.0,31.0,0.0
Net Profit,1.0,2.0,0.0,5.0,4.0,7.0,1.0,3.0,0.0
EPS in Rs,1.2,2.0,0.27,3.2,2.94,4.34,0.42,2.27,0.14
