,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,452.0,579.0,543.0,588.0,511.0,454.0,424.0,448.0,347.0,212.0,234.0,278.0,253
Expenses,437.0,562.0,527.0,568.0,490.0,436.0,406.0,433.0,339.0,207.0,227.0,268.0,245
Operating Profit,16.0,17.0,16.0,20.0,22.0,18.0,17.0,15.0,8.0,5.0,8.0,10.0,9
OPM %,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3
Other Income,1.0,1.0,1.0,2.0,3.0,5.0,5.0,6.0,16.0,5.0,3.0,2.0,2
Interest,7.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,7.0,8.0,5.0,5.0,3
Depreciation,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,3
Profit before tax,5.0,4.0,3.0,8.0,11.0,10.0,11.0,7.0,13.0,0.0,2.0,5.0,5
Tax %,46.0,37.0,24.0,25.0,24.0,25.0,23.0,15.0,16.0,79.0,-2.0,-5.0,
Net Profit,3.0,2.0,2.0,6.0,8.0,8.0,8.0,6.0,11.0,0.0,2.0,5.0,5
EPS in Rs,0.44,0.4,0.39,0.99,1.32,1.24,1.25,0.96,1.63,0.01,0.34,0.76,0.76
