,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,34.79,13.85,15.16,12.3,13.68,14.33,18.97,23.97,19.93,16.2,16.88,27.42,30.96
Expenses,33.75,13.19,14.32,11.35,12.94,14.19,18.31,23.24,19.11,16.26,18.62,28.97,32.39
Operating Profit,1.04,0.66,0.84,0.95,0.74,0.14,0.66,0.73,0.82,-0.06,-1.74,-1.55,-1.43
OPM %,2.99,4.77,5.54,7.72,5.41,0.98,3.48,3.05,4.11,-0.37,-10.31,-5.65,-4.62
Other Income,0.01,0.01,0.0,0.07,0.01,0.58,0.53,0.6,0.58,0.89,0.47,0.52,0.59
Interest,0.3,0.02,0.02,0.03,0.01,0.01,0.04,0.04,0.04,0.01,0.0,0.04,0.05
Depreciation,0.47,0.43,0.38,0.76,0.5,0.44,0.47,0.46,0.4,0.34,0.29,0.36,0.41
Profit before tax,0.28,0.22,0.44,0.23,0.24,0.27,0.68,0.83,0.96,0.48,-1.56,-1.43,-1.30
Tax %,21.43,18.18,18.18,39.13,83.33,37.04,16.18,6.02,44.79,33.33,1.28,11.89,
Net Profit,0.22,0.18,0.35,0.14,0.04,0.16,0.57,0.78,0.54,0.31,-1.55,-1.26,-1.11
EPS in Rs,0.32,0.26,0.51,0.21,0.06,0.23,0.83,1.14,0.79,0.45,-2.27,-1.85,-1.62
