,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
Reserves,2.87,3.0,3.12,3.48,3.6,4.0,4.52,5.12,5.55,5.88,6.15,6.31,4.41
Borrowings,10.14,11.95,14.22,16.0,16.04,18.46,18.55,22.08,22.98,21.37,21.23,19.47,16.38
Other Liabilities,9.1,7.93,10.53,11.92,5.63,15.24,30.31,41.46,34.87,13.91,6.78,9.95,13.39
Total Liabilities,26.41,27.18,32.17,35.7,29.57,42.0,57.68,72.96,67.7,45.46,38.46,40.03,38.48
Fixed Assets,2.27,3.83,4.21,3.68,3.5,3.25,4.1,4.18,4.67,3.43,3.13,2.75,2.6
CWIP,0.68,0.0,0.0,0.0,0.0,0.0,0.09,0.45,0.0,0.0,0.0,0.0,0.0
Investments,0.32,0.32,0.32,0.32,0.32,0.24,0.25,0.12,0.11,0.16,0.17,0.07,0.09
Other Assets,23.14,23.03,27.64,31.7,25.75,38.51,53.24,68.21,62.92,41.87,35.16,37.21,35.79
Total Assets,26.41,27.18,32.17,35.7,29.57,42.0,57.68,72.96,67.7,45.46,38.46,40.03,38.48
