,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,24.52,28.0,34.7,39.64,40.7,58.06,72.21,52.62,47.68,54.25,67.57,85.31,94.38
Expenses,24.84,27.87,34.86,40.8,40.95,56.61,68.1,50.03,43.01,48.56,63.0,79.49,86.53
Operating Profit,-0.32,0.13,-0.16,-1.16,-0.25,1.45,4.11,2.59,4.67,5.69,4.57,5.82,7.85
OPM %,-1.31,0.46,-0.46,-2.93,-0.61,2.5,5.69,4.92,9.79,10.49,6.76,6.82,8.32
Other Income,0.82,3.46,16.27,3.89,1.35,8.53,2.45,1.61,0.25,0.13,0.19,0.04,0.04
Interest,0.44,0.37,0.42,0.4,0.29,0.53,0.16,0.15,0.19,0.39,0.84,1.0,0.99
Depreciation,1.09,1.1,0.88,0.36,0.41,0.31,0.32,0.33,0.4,0.48,0.56,0.79,0.86
Profit before tax,-1.03,2.12,14.81,1.97,0.4,9.14,6.08,3.72,4.33,4.95,3.36,4.07,6.04
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,-77.63,15.59,81.52,25.25,25.3,25.06,
Net Profit,-1.03,2.12,14.81,1.96,0.4,9.14,10.8,3.14,0.8,3.71,2.51,3.04,4.26
EPS in Rs,-0.07,0.14,0.96,0.09,0.02,0.42,0.46,0.13,0.03,0.16,0.11,0.13,0.18
