,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,6.01,7.7,11.69,6.3,9.1,8.21,11.96,6.57,9.22,6.44,9.66,8.35,7.34
Expenses,4.4,4.26,6.52,3.93,4.65,5.12,6.58,5.09,4.99,5.6,5.59,5.26,5.07
Operating Profit,1.61,3.44,5.17,2.37,4.45,3.09,5.38,1.48,4.23,0.84,4.07,3.09,2.27
OPM %,26.79,44.68,44.23,37.62,48.9,37.64,44.98,22.53,45.88,13.04,42.13,37.01,30.93
Other Income,0.12,0.16,0.3,0.12,0.12,0.12,0.1,0.11,0.01,0.21,0.14,0.11,0.02
Interest,0.72,3.09,3.36,2.21,2.97,2.73,1.77,1.27,1.18,1.72,2.39,2.32,1.82
Depreciation,0.22,0.42,0.22,0.21,0.22,0.28,0.36,0.27,0.26,0.27,0.15,0.25,0.26
Profit before tax,0.79,0.09,1.89,0.07,1.38,0.2,3.35,0.05,2.8,-0.94,1.67,0.63,0.21
Tax %,22.78,-88.89,85.71,42.86,31.16,60.0,20.3,-140.0,2.86,-11.7,84.43,49.21,47.62
Net Profit,0.61,0.17,0.27,0.04,0.95,0.08,2.66,0.12,2.72,-1.05,0.27,0.32,0.11
EPS in Rs,0.5,0.14,0.22,0.03,0.77,0.07,2.16,0.1,2.21,-0.85,0.22,0.26,0.09
