,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,7.59,12.84,9.78,11.97,18.4,13.51,12.68,16.57,19.77,19.1,22.43,15.03,13.11
Expenses,7.49,11.6,9.48,11.44,17.1,12.61,11.3,15.46,17.75,17.78,21.4,13.94,12.44
Operating Profit,0.1,1.24,0.30,0.53,1.3,0.9,1.38,1.11,2.02,1.32,1.03,1.09,0.67
OPM %,1.32,9.66,3.07,4.43,7.07,6.66,10.88,6.7,10.22,6.91,4.59,7.25,5.11
Other Income,0.0,0.01,0.05,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.0,0.0
Interest,0.27,0.58,0.33,0.33,0.6,0.5,0.47,0.46,0.5,0.43,0.4,0.42,0.36
Depreciation,-0.01,0.01,0.02,0.01,0.01,0.01,0.24,0.06,0.06,0.07,0.07,0.06,0.06
Profit before tax,-0.16,0.66,0.00,0.19,0.7,0.39,0.68,0.61,1.46,0.82,0.58,0.61,0.25
Tax %,0.0,10.61,,26.32,25.71,25.64,30.88,26.23,30.82,23.17,62.07,26.23,40.0
Net Profit,-0.16,0.59,0.02,0.14,0.52,0.29,0.47,0.44,1.0,0.63,0.21,0.45,0.15
EPS in Rs,-0.0,0.02,0.00,0.0,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.01,0.0
