,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,37.43,41.34,43.64,43.26,83.46,61.31,71.84,51.72,17.34,32.12,56.52,76.75,69.67
Expenses,35.66,39.73,42.69,41.44,81.23,57.88,68.87,49.72,17.12,30.41,52.41,71.25,65.56
Operating Profit,1.77,1.61,0.95,1.82,2.23,3.43,2.97,2.0,0.22,1.71,4.11,5.5,4.11
OPM %,4.73,3.89,2.18,4.21,2.67,5.59,4.13,3.87,1.27,5.32,7.27,7.17,5.90
Other Income,0.07,0.03,-0.49,0.01,0.08,0.14,0.09,0.27,0.65,0.05,0.03,0.04,0.02
Interest,1.36,1.23,0.84,1.33,1.32,1.67,1.51,1.39,1.04,1.43,1.91,1.82,1.61
Depreciation,0.04,0.03,0.04,0.09,0.15,0.16,0.14,0.11,0.09,0.06,0.28,0.27,0.26
Profit before tax,0.44,0.38,-0.42,0.41,0.84,1.74,1.41,0.77,-0.26,0.27,1.95,3.45,2.26
Tax %,29.55,31.58,-4.76,0.0,40.48,36.21,34.04,20.78,0.0,14.81,27.69,33.62,
Net Profit,0.31,0.26,-0.44,0.42,0.51,1.1,0.93,0.62,-0.26,0.22,1.42,2.29,1.44
EPS in Rs,,,,0.01,0.02,0.03,0.03,0.02,-0.01,0.01,0.04,0.07,0.04
