,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,24.62,20.85,23.55,23.33,34.56,33.72,47.24,54.51,43.91,60.89,83.44,69.22,62.23
Expenses,23.35,20.36,22.6,23.47,32.9,31.73,44.51,50.9,41.08,56.98,77.96,66.41,60.97
Operating Profit,1.27,0.49,0.95,-0.14,1.66,1.99,2.73,3.61,2.83,3.91,5.48,2.81,1.26
OPM %,5.16,2.35,4.03,-0.6,4.8,5.9,5.78,6.62,6.45,6.42,6.57,4.06,2.02
Other Income,0.1,0.63,0.01,1.74,0.16,0.2,0.24,0.3,0.29,0.53,0.49,0.63,0.65
Interest,0.46,0.58,0.54,0.61,0.56,0.5,0.4,0.45,0.45,0.33,0.43,0.46,0.48
Depreciation,0.22,0.24,0.22,0.29,0.29,0.31,0.37,0.38,0.31,0.46,0.8,0.92,0.93
Profit before tax,0.69,0.3,0.2,0.7,0.97,1.38,2.2,3.08,2.36,3.65,4.74,2.06,0.50
Tax %,31.88,26.67,25.0,18.57,22.68,21.74,44.09,28.9,26.69,23.84,27.0,25.24,
Net Profit,0.47,0.22,0.14,0.57,0.75,1.09,1.24,2.19,1.72,2.78,3.47,1.55,0.46
EPS in Rs,0.81,0.38,0.24,0.99,1.3,1.89,2.59,4.58,3.6,5.81,6.19,2.77,0.82
