,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.00,0.00,4.2,2.75,0.1,0.00,0.00,0.00,0.00,12.77,48.44,54.96
Expenses,0.0,0.02,0.13,3.89,2.85,0.63,0.07,0.05,0.21,0.13,12.77,46.51,53.28
Operating Profit,0.0,-0.02,-0.13,0.31,-0.1,-0.53,-0.07,-0.05,-0.21,-0.13,0.0,1.93,1.68
OPM %,,,,7.38,-3.64,-530.0,,,,,0.0,3.98,3.06
Other Income,0.0,-0.03,0.09,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.0,0.00
Interest,0.0,0.00,0.00,0.08,0.0,0.01,0.00,0.00,0.00,0.00,0.14,0.0,-0.03
Depreciation,0.0,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.08,0.11
Profit before tax,0.0,-0.05,-0.04,0.23,-0.1,-0.54,-0.07,-0.05,-0.21,-0.13,-0.14,1.85,1.60
Tax %,,0.00,0.00,21.74,0.0,0.0,0.00,0.00,0.00,0.00,0.0,21.62,
Net Profit,0.0,-0.05,-0.04,0.18,-0.11,-0.54,-0.07,-0.06,-0.21,-0.14,-0.14,1.45,1.12
EPS in Rs,,-0.09,-0.07,0.33,-0.2,-0.99,-0.13,-0.11,-0.39,-0.26,-0.22,2.32,1.79
