,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,0.08,0.04,0.04,0.07,0.04,0.08,0.04,0.04,0.06,0.10,0.05,0.15,0.04
Operating Profit,-0.08,-0.04,-0.04,-0.07,-0.04,-0.08,-0.04,-0.04,-0.06,-0.10,-0.05,-0.15,-0.04
OPM %,,,,,,,,,,,,,
Other Income,0.01,0.01,0.02,0.02,0.09,0.20,0.02,0.02,0.03,0.02,0.01,0.01,0.01
Interest,0.00,0.00,0.00,0.34,0.07,0.07,-0.21,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,-0.08,-0.04,-0.03,-0.40,-0.03,0.04,0.18,-0.03,-0.04,-0.09,-0.05,-0.15,-0.04
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Profit,-0.08,-0.03,-0.03,-0.39,-0.03,0.04,0.19,-0.03,-0.04,-0.09,-0.05,-0.15,-0.04
EPS in Rs,-0.04,-0.01,-0.01,-0.17,-0.01,0.02,0.08,-0.01,-0.02,-0.04,-0.02,-0.07,-0.02
