,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.11,0.28,0.23,0.22,0.11,0.03,0.07,0.06,-0.00,0.01,0.23,0.54,0.59
Expenses,0.03,0.1,0.16,0.2,0.25,0.13,0.09,0.05,0.17,0.4,0.36,0.64,0.72
Operating Profit,0.08,0.18,0.07,0.02,-0.14,-0.1,-0.02,0.01,-0.17,-0.39,-0.13,-0.1,-0.13
OPM %,72.73,64.29,30.43,9.09,-127.27,-333.33,-28.57,16.67,,-3900.0,-56.52,-18.52,-22.03
Other Income,-0.00,-0.0,-0.0,-1.9,0.03,-0.0,-0.0,0.01,-0.00,-0.0,0.01,-0.01,0.01
Interest,0.01,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00,-0.0,-0.0,-0.0,0.00
Depreciation,-0.00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00,-0.0,-0.0,-0.0,0.00
Profit before tax,0.07,0.12,0.07,-1.88,-0.11,-0.1,-0.02,0.02,-0.17,-0.39,-0.12,-0.11,-0.12
Tax %,28.57,83.33,42.86,-1.6,27.27,-0.0,-0.0,-0.0,5.88,-10.26,-0.0,-0.0,
Net Profit,0.05,0.02,0.05,-1.9,-0.08,-0.1,-0.02,0.02,-0.16,-0.43,-0.12,-0.11,-0.12
EPS in Rs,,0.01,0.01,-0.51,-0.02,-0.03,-0.01,0.01,-0.04,-0.12,-0.03,-0.03,-0.04
