,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,100.0,36.0,20.0,16.0,10.0,2.0,0.0,0,0.0
Expenses,112.0,64.0,67.0,104.0,96.0,25.0,4.0,2,2.0
Operating Profit,-12.0,-29.0,-47.0,-88.0,-86.0,-23.0,-4.0,-2,-2.0
OPM %,-12.0,-81.0,-239.0,-538.0,-871.0,-1168.0,-954.0,,
Other Income,75.0,20.0,17.0,-14.0,142.0,1.0,-6.0,0,1.0
Interest,57.0,70.0,66.0,65.0,56.0,42.0,2.0,2,2.0
Depreciation,32.0,29.0,28.0,29.0,21.0,19.0,13.0,10,9.0
Profit before tax,-25.0,-108.0,-124.0,-196.0,-21.0,-82.0,-25.0,-14,-12.0
Tax %,0.0,-1.0,0.0,-1.0,-216.0,-1.0,9.0,0,
Net Profit,-25.0,-109.0,-124.0,-197.0,-67.0,-83.0,-22.0,-14,-12.0
EPS in Rs,-8.29,-35.78,-40.82,-64.73,-22.09,-27.29,-7.4,-4.49,-4.0
