,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,5.35,8.41,10.23,12.86,11.87,14.58,19.01,17.6,9.81,12.19,13.08,15.91,19.03
Expenses,5.32,7.73,8.79,12.1,11.01,14.52,17.83,17.08,9.78,13.08,12.05,15.92,19.12
Operating Profit,0.03,0.68,1.44,0.76,0.86,0.06,1.18,0.52,0.03,-0.89,1.03,-0.01,-0.09
OPM %,0.56,8.09,14.08,5.91,7.25,0.41,6.21,2.95,0.31,-7.3,7.87,-0.06,-0.47
Other Income,0.0,0.0,0.24,0.21,0.21,-0.02,0.37,0.02,0.04,0.13,1.24,0.04,0.68
Interest,0.0,0.01,0.01,0.19,0.28,-0.29,0.09,0.09,0.12,0.11,0.13,0.12,0.14
Depreciation,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.1
Profit before tax,-0.15,0.49,1.49,0.59,0.6,0.14,1.26,0.25,-0.24,-1.06,1.95,-0.28,0.35
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,6.35,0.0,0.0,0.0,45.13,0.0,0.0
Net Profit,-0.15,0.48,1.49,0.59,0.59,0.14,1.18,0.25,-0.24,-1.06,1.07,-0.28,0.34
EPS in Rs,-0.33,1.05,3.24,1.28,1.28,0.3,2.57,0.54,-0.52,-2.31,2.33,-0.61,0.74
