,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.55,4.55,4.55,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33
Reserves,156.83,154.81,154.11,146.1,43.04,26.57,8.4,5.45,-2.29,-4.06,-6.58,-7.04,-8.02
Borrowings,12.19,22.2,32.88,30.62,17.4,19.52,39.66,32.34,22.74,12.8,13.3,10.55,10.34
Other Liabilities,15.81,19.92,20.36,20.36,19.02,18.46,16.64,16.05,16.88,22.32,19.54,15.95,16.33
Total Liabilities,189.38,201.48,211.9,202.41,84.79,69.88,70.03,59.17,42.66,36.39,31.59,24.79,23.98
Fixed Assets,157.71,158.08,158.1,146.94,31.96,9.42,7.53,7.63,6.69,5.15,4.57,4.28,4.14
CWIP,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.29,0.07,0.7000000000000001,0.12,0.06,2.08,7.7,0.05,0.05,0.88,0.05,0.76,0.05
Other Assets,31.38,43.33,53.1,55.35,52.77,57.92,54.8,51.49,35.92,30.36,26.97,19.75,19.79
Total Assets,189.38,201.48,211.9,202.41,84.79,69.88,70.03,59.17,42.66,36.39,31.59,24.79,23.98
