,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,232.0,281.0,259.0,260.0,236.0,262.0,327.0,369.0,284.0,223.0,449.0,701.0,539
Expenses,205.0,260.0,260.0,267.0,243.0,277.0,298.0,290.0,268.0,235.0,362.0,508.0,461
Operating Profit,27.0,20.0,-1.0,-7.0,-8.0,-15.0,29.0,78.0,16.0,-12.0,87.0,192.0,78
OPM %,12.0,7.0,-1.0,-3.0,-3.0,-6.0,9.0,21.0,6.0,-6.0,19.0,27.0,14
Other Income,3.0,4.0,3.0,2.0,5.0,3.0,-4.0,5.0,20.0,55.0,15.0,26.0,22
Interest,11.0,8.0,1.0,1.0,5.0,4.0,20.0,8.0,5.0,5.0,9.0,8.0,13
Depreciation,13.0,13.0,10.0,8.0,7.0,8.0,9.0,16.0,13.0,17.0,17.0,24.0,33
Profit before tax,7.0,4.0,-10.0,-13.0,-14.0,-24.0,-5.0,59.0,18.0,20.0,76.0,186.0,55
Tax %,33.0,31.0,0.0,0.0,0.0,0.0,0.0,5.0,52.0,59.0,25.0,28.0,
Net Profit,4.0,3.0,-10.0,-13.0,-14.0,-24.0,-5.0,56.0,9.0,8.0,57.0,134.0,29
EPS in Rs,0.43,0.27,-0.93,-1.26,-1.39,-1.79,-0.36,4.12,0.65,0.53,2.34,5.53,1.21
