,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,0,2.0,10.0,11.0,20.0,28.0,30.0,22.0,8.0,9.0,8.0,12
Expenses,0,0,3.0,11.0,12.0,20.0,27.0,29.0,21.0,6.0,8.0,10.0,35
Operating Profit,0,0,-0.0,-1.0,-2.0,0.0,1.0,1.0,1.0,1.0,1.0,-2.0,-22
OPM %,5,8,-12.0,-12.0,-14.0,0.0,3.0,2.0,6.0,18.0,6.0,-28.0,-179
Other Income,0,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,7.0,4
Interest,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,0,0,-0.0,-1.0,-2.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,-19
Tax %,0,0,0.0,17.0,0.0,0.0,21.0,46.0,16.0,11.0,43.0,18.0,
Net Profit,0,0,-0.0,-1.0,-2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,-20
EPS in Rs,,,-0.01,-0.02,-0.04,0.0,0.0,0.01,0.02,0.03,0.01,0.09,-0.46
