,2014-09-01,2014-12-01,2015-03-01,2015-06-01,2015-09-01,2015-12-01,2016-03-01,2016-12-01,2017-03-01,2017-06-01,2017-09-01,2017-12-01,2018-03-01
Sales,5.0,7.0,2.0,15.0,11.0,6.0,4.0,0.0,0.0,0.0,7.0,0,2.0
Expenses,4.0,6.0,2.0,13.0,7.0,4.0,6.0,0.0,11.0,0.0,9.0,0,8.0
Operating Profit,1.0,2.0,-0.0,2.0,4.0,2.0,-3.0,0.0,-11.0,0.0,-1.0,0,-6.0
OPM %,22.0,21.0,-22.0,16.0,37.0,33.0,-73.0,,-11922.0,,-20.0,100,-374.0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0,-9.0
Interest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0,2.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Profit before tax,0.0,1.0,-2.0,1.0,3.0,1.0,-4.0,0.0,-13.0,0.0,-3.0,0,-17.0
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,,0.0,,0.0,,0.0
Net Profit,0.0,1.0,-2.0,1.0,3.0,1.0,-4.0,0.0,-13.0,0.0,-3.0,0,-17.0
EPS in Rs,0.1,0.67,-1.84,1.55,3.36,1.21,-3.74,0.0,-13.54,0.0,-3.54,0.00,-18.39
