,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,7.35,15.89,3.34,14.87,5.63,12.29,3.79,7.16,8.34
Expenses,6.2,13.18,3.77,12.47,6.54,10.58,6.59,5.31,7.06
Operating Profit,1.15,2.71,-0.43,2.4,-0.91,1.71,-2.8,1.85,1.28
OPM %,15.65,17.05,-12.87,16.14,-16.16,13.91,-73.88,25.84,15.35
Other Income,0.29,0.2,0.29,0.14,0.29,0.41,0.0,2.86,0.01
Interest,0.55,0.41,0.52,0.43,0.46,0.46,0.43,0.51,0.15
Depreciation,0.69,0.69,0.56,0.6,0.59,0.52,0.44,0.45,0.56
Profit before tax,0.2,1.81,-1.22,1.51,-1.67,1.14,-3.67,3.75,0.58
Tax %,0.0,-43.65,0.0,11.92,-35.93,-16.67,0.0,1.33,0.0
Net Profit,0.2,2.61,-1.22,1.33,-2.27,1.33,-3.66,3.69,0.58
EPS in Rs,0.3,3.9,-1.82,1.99,-3.39,1.99,-5.47,5.52,0.46
