,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,18,18,18,18,18,18,18,18,18,18,18,18,18
Reserves,36,35,36,42,46,51,59,68,79,98,120,145,156
Borrowings,11,12,9,13,7,13,19,13,3,10,5,0,0
Other Liabilities,6,6,6,10,6,8,10,14,14,14,14,14,9
Total Liabilities,71,71,70,81,77,90,106,112,114,140,157,176,183
Fixed Assets,13,14,12,12,11,14,14,13,13,13,14,13,12
CWIP,0,0,0,0,0,0,0,0,0,1,0,0,0
Investments,0,0,0,0,0,26,26,0,22,22,16,59,30
Other Assets,58,57,57,69,66,50,67,99,79,104,127,104,140
Total Assets,71,71,70,81,77,90,106,112,114,140,157,176,183
