,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,19,24,24,24,24,24,24,24
Reserves,11,10,11,13,16,17,51,72,96,109,112,125,128
Borrowings,24,15,20,10,15,0,15,50,70,111,149,127,135
Other Liabilities,34,45,27,23,72,77,60,89,133,116,73,110,98
Total Liabilities,79,79,68,56,112,113,150,235,322,359,359,385,385
Fixed Assets,26,20,17,15,12,11,14,20,33,55,52,54,51
CWIP,0,0,0,0,0,0,0,10,23,0,0,9,10
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,53,59,51,41,100,102,135,205,267,304,307,322,324
Total Assets,79,79,68,56,112,113,150,235,322,359,359,385,385
