,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.1,0.05,0.14,0.09,0.11,0.27,0.00,0.22,0.00,0.00,0.00,0.00,1.81
Expenses,0.14,0.15,0.08,0.09,0.06,0.2,0.29,0.18,0.28,0.29,0.38,0.16,1.45
Operating Profit,-0.04,-0.1,0.06,0.0,0.05,0.07,-0.29,0.04,-0.28,-0.29,-0.38,-0.16,0.36
OPM %,-40.0,-200.0,42.86,0.0,45.45,25.93,,18.18,,,,,19.89
Other Income,0.0,0.06,0.0,0.0,0.00,0.0,0.22,0.0,0.24,0.25,-2.19,0.15,0.09
Interest,0.03,0.04,0.05,0.02,0.03,0.03,0.05,0.02,0.02,0.02,0.04,0.02,0.03
Depreciation,0.02,0.02,0.23,0.02,0.02,0.02,0.73,0.03,0.03,0.02,0.00,0.03,0.02
Profit before tax,-0.09,-0.1,-0.22,-0.04,0.00,0.02,-0.85,-0.01,-0.09,-0.08,-2.61,-0.06,0.4
Tax %,0.0,0.0,0.0,0.0,,0.0,0.00,0.0,0.00,0.00,0.00,0.00,0.0
Net Profit,-0.09,-0.1,-0.23,-0.05,0.00,0.02,-0.85,-0.01,-0.08,-0.08,-2.61,-0.05,0.4
EPS in Rs,-0.09,-0.1,-0.23,-0.05,0.00,0.02,-0.85,-0.01,-0.08,-0.08,-2.61,-0.05,0.4
