,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,27,27,27,27,30,30.0
Reserves,2147,2253,2300,2132,2497,2376,2512.0
Preference Capital,0,0,0,0,3,0,
Borrowings,849,852,1912,1708,2807,3414,3079.0
Other Liabilities,1680,1913,1946,2315,7269,7093,7648.0
Total Liabilities,4676,5045,6185,6182,12599,12913,13270.0
Fixed Assets,2976,3140,3983,4078,9934,9956,10336.0
CWIP,5,55,7,5,9,7,12.0
Investments,128,290,94,240,495,439,179.0
Other Assets,1567,1561,2100,1859,2161,2511,2742.0
Total Assets,4676,5045,6185,6182,12599,12913,13270.0
