,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,-0.00,-0.00,0.14,0.06,-0.00,-0.00,0.21,-0.00,-0.00,-0.00,-0.00,0.1,-0.00
Expenses,2.72,0.04,0.17,0.08,0.03,0.03,0.15,0.02,0.02,0.03,0.04,0.11,0.04
Operating Profit,-2.72,-0.04,-0.03,-0.02,-0.03,-0.03,0.06,-0.02,-0.02,-0.03,-0.04,-0.01,-0.04
OPM %,,,-21.43,-33.33,,,28.57,,,,,-10.0,
Other Income,-0.00,-0.00,-0.0,-0.0,-0.00,-0.00,-0.0,-0.00,-0.00,-0.00,0.05,-0.0,-0.00
Interest,-0.00,-0.00,-0.0,-0.0,-0.00,-0.00,-0.0,-0.00,-0.00,-0.00,-0.00,-0.0,-0.00
Depreciation,-0.00,-0.00,-0.0,-0.0,-0.00,-0.00,-0.0,-0.00,-0.00,-0.00,-0.00,-0.0,-0.00
Profit before tax,-2.72,-0.04,-0.03,-0.02,-0.03,-0.03,0.06,-0.02,-0.02,-0.03,0.01,-0.01,-0.04
Tax %,-0.00,-0.00,-0.0,-0.0,-0.00,-0.00,-0.0,-0.00,-0.00,-0.00,100.00,-0.0,-0.00
Net Profit,-2.72,-0.04,-0.03,-0.02,-0.03,-0.03,0.06,-0.02,-0.02,-0.03,-0.00,-0.01,-0.04
EPS in Rs,-4.73,-0.07,-0.05,-0.03,-0.05,-0.05,0.1,-0.03,-0.03,-0.05,-0.00,-0.02,-0.07
