,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.15,7.97,23.54,56.0,30.13,13.86,12.07,10.7,10.58,27.5,25.42,26.27,35.71
Expenses,0.15,7.0,21.06,47.87,26.17,11.51,9.84,8.61,8.57,25.28,22.96,23.84,33.00
Operating Profit,0.00,0.97,2.48,8.13,3.96,2.35,2.23,2.09,2.01,2.22,2.46,2.43,2.71
OPM %,0.00,12.17,10.54,14.52,13.14,16.96,18.48,19.53,19.0,8.07,9.68,9.25,7.59
Other Income,0.00,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
Interest,0.00,0.09,0.19,0.66,0.8,0.34,0.45,0.32,0.28,0.3,0.4,0.32,0.23
Depreciation,0.00,0.06,0.09,0.1,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.06,0.08
Profit before tax,0.00,0.82,2.2,7.38,3.08,1.95,1.73,1.73,1.69,1.89,2.03,2.05,2.48
Tax %,,6.1,32.27,33.6,34.09,35.38,27.17,28.32,30.18,25.93,25.62,25.37,
Net Profit,0.00,0.77,1.48,4.9,2.03,1.25,1.26,1.25,1.19,1.41,1.51,1.53,1.84
EPS in Rs,0.00,0.51,0.99,3.27,1.35,0.83,0.84,0.83,0.79,0.94,1.01,1.02,1.23
